"artist","song_name","song_id","streams","date"
"KAROL G, Nicki Minaj","Tusa","7k4t7uLgtOxPwTpFmtJNTY",434361,"2020-02-02"
"Dímelo Flow, Arcangel, Sech","Sigues Con El","7sQKy5vlPQllr0k9IjYJv3",290874,"2020-02-02"
"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow","Hola - Remix","5stPVcRqb4qixbafP9e8lt",253068,"2020-02-02"
"Tones And I","Dance Monkey","1rgnBhdG2JDFTbYkYRZAku",220223,"2020-02-02"
"Bad Bunny","Vete","5DxXgozhkPLgrbKFY91w0c",206531,"2020-02-02"
"Nicky Jam, Anuel AA","Whine Up","2pWOMNQJW3g2zmGjP0Vkb0",188223,"2020-02-02"
"Rauw Alejandro, Farruko","Fantasias","6mAN61JH0dzyZpWslS11jy",184506,"2020-02-02"
"Nicky Jam, Daddy Yankee","Muévelo","4VgYtXCVJ7IbWAZ5ryfvEQ",174011,"2020-02-02"
"Lunay, Ozuna, Anuel AA","Aventura","37zdqI4r1gswIzczSBkRon",167379,"2020-02-02"
"Myke Towers","Girl","43NqTeL8pgBxKHPMiJKUP5",165601,"2020-02-02"
"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles","Bellaquita - Remix","1Xnn1TPyr5h0hpRAT4B4EA",157077,"2020-02-02"
"Shakira, Anuel AA","Me Gusta","5Xhqh4lwJPtMUTsdBztN1a",149473,"2020-02-02"
"Black Eyed Peas, J Balvin","RITMO (Bad Boys For Life)","6cy3ki60hLwimwIje7tALf",148897,"2020-02-02"
"Tainy","Adicto (with Anuel AA & Ozuna)","3jbT1Y5MoPwEIpZndDDwVq",148544,"2020-02-02"
"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna","China","2ksOAxtIxY8yElEWw8RhgK",141083,"2020-02-02"
"J Balvin","Morado","3mQ6SLdxxaL52Yte7KF2Ks",130414,"2020-02-02"
"Jhay Cortez, J Balvin, Bad Bunny","No Me Conoce - Remix","4R8BJggjosTswLxtkw8V7P",128124,"2020-02-02"
"Daddy Yankee","Que Tire Pa Lante","6RyaV7owmVU6fzEPE17sF1",126797,"2020-02-02"
"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion","Quizas","5Id5B3dxJZhPcV9GzgYZZe",119412,"2020-02-02"
"Arcangel, Bad Bunny","Infeliz","4z6wo6PJG4Fve45OXK6D9m",110874,"2020-02-02"
"J Balvin, Bad Bunny","LA CANCIÓN","0fea68AdmYNygeTGI4RC18",108258,"2020-02-02"
"Bad Bunny, Tainy","Callaita","2TH65lNHgvLxCKXM3apjxI",107755,"2020-02-02"
"Noriel","Piropo","5YrjfKuFd0pMmYTGeRDV6X",98282,"2020-02-02"
"Sech, Ozuna","Si Te Vas","6Y4PDQv4XjYjHLeLmvyOt0",97110,"2020-02-02"
"KEVVO, Farruko, Chencho Corleone, Arcangel, Darell, Ñengo Flow, Brytiago, Myke Towers","105 F Remix","1aUGxXCz9QimNkKeiJtzZ7",96534,"2020-02-02"
"Alex Rose, Rafa Pabön","Jangueo","5m3jpKkgkfoMcym1qjToFg",94207,"2020-02-02"
"Eladio Carrion, Zion & Lennox, Wisin & Yandel, Lunay","Mi Error - Remix","5IjOqh4XLyjHINuOGolmAt",92637,"2020-02-02"
"Myke Towers","Piensan","1A9PKAFEHMWgXNLpgf7k4J",91613,"2020-02-02"
"Daddy Yankee, Sech","Definitivamente","113PlnpZbHd3WIqeYjhZWv",90917,"2020-02-02"
"Justin Quiles, Natti Natasha, Farruko","DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","1ndyl3wJCFs872XZ3ztPk6",90512,"2020-02-02"
"Dímelo Flow","El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","684EjRHwNsZQ9hCQxL4NYL",90480,"2020-02-02"
"Lunay, Daddy Yankee, Bad Bunny","Soltera - Remix","4t9a07PAghtQMRAIP9FQ7Z",89024,"2020-02-02"
"Myke Towers, Farruko, Arcangel, Sech, Zion","Si Se Da - Remix","6K5BsR04ijf3FHNzjbaagD",88992,"2020-02-02"
"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid","Perreo en La Luna","0RDgqtvOHLwcI6yz9bjsZV",88240,"2020-02-02"
"Rvssian, Darell, Zion & Lennox","B11 (feat. Myke Towers)","4o1DxRjMCHDwBiOKv88rOl",81438,"2020-02-02"
"Camilo, Pedro Capó","Tutu","1nocRtwyNPVtGcIJqfgdzZ",80948,"2020-02-02"
"Dua Lipa","Don't Start Now","6WrI0LAC5M1Rw2MnX2ZvEg",80736,"2020-02-02"
"Sech, Ozuna, Anuel AA, Darell, Nicky Jam","Otro Trago - Remix","4bTZeO72FwMa6wKOiqoynL",80708,"2020-02-02"
"El Alfa, Lil Pump","Coronao Now","7FbKipScVxkjQxQXwTd0gL",79534,"2020-02-02"
"Ozuna","Fantasía","40rXWke6SnXiGkSmaT8ZUr",78711,"2020-02-02"
"Noriel, Myke Towers, Rauw Alejandro, Almighty","Cuerpo en Venta","2B94bbI1a4LyBpK1439oP7",77628,"2020-02-02"
"Paloma Mami","Mami","64IRsSyqwD0CBbFAfrR0rT",74142,"2020-02-02"
"Justin Bieber","Yummy","41L3O37CECZt3N7ziG2z7l",73555,"2020-02-02"
"J Balvin, Bad Bunny","QUE PRETENDES","25ZAibhr3bdlMCLmubZDVt",70818,"2020-02-02"
"ROSALÍA, Ozuna","Yo x Ti, Tu x Mi","7BlBVFwvbWvcwNcUarQmjk",69198,"2020-02-02"
"Jhay Cortez, Wisin & Yandel","Imaginaste - Remix","3dJWIbkKEnI0Jb9CK6kdcg",68362,"2020-02-02"
"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez","Que Mas Pues - Remix","7fODjB7BrQTGqh0hogW6XD",67302,"2020-02-02"
"Daddy Yankee, Wisin & Yandel","Si Supieras","7MRU4vOkywuhZ9kbFiPuiu",66644,"2020-02-02"
"Myke Towers, Maluma, Farruko","La Playa - Remix","70zg99pT51vB4wlMS7e4q7",65612,"2020-02-02"
"Manuel Turizo, Anuel AA","Te Quemaste","4fj7e6Tc48Bmomwyz2Z2XC",65359,"2020-02-02"
"Javiielo","Pa Los Gustos Los Colores","6EWWkqE4aFlZRyoFwwOT8u",60651,"2020-02-02"
"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön","Cuaderno","7anSoGdgtmJTAPZBzcPhO6",59909,"2020-02-02"
"Shawn Mendes, Camila Cabello","Señorita","6v3KW9xbzN5yKLt9YKDYA2",59471,"2020-02-02"
"Nio Garcia, Rauw Alejandro, Lenny Tavárez, Myke Towers, Casper Magico, Darell","Mírame - Remix","53uKGbcMjEc2gIWbfmvpdS",57322,"2020-02-02"
"Santaferia","Algún Día Volveras","27uAea0qcUz3a7jKnAT7KG",57152,"2020-02-02"
"C. Tangana, Paloma Mami","No Te Debí Besar","1KdwnsWOvhM53vezy5ROuf",55093,"2020-02-02"
"joel music, puch flow","Mueve Lo Que Dios Te Dio","5BAKerbfUwW5KboNuIPMmn",54935,"2020-02-02"
"Casper Magico, Bryant Myers, Alex Rose, Juhn","Fantasmita - Remix","5NOHsDSfLIH45y3i9PfRyh",54786,"2020-02-02"
"Myke Towers","Parcerita","2oZBb87Jgwrg3qYhwsy3BN",53616,"2020-02-02"
"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex","El Efecto - Remix","74j34STf8L6uADnTN69ohv",53170,"2020-02-02"
"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez","Pa Mí - Remix","7g8YaUQABMal0zWe7a2ijz",51416,"2020-02-02"
"J Balvin","Blanco","2rc7BkzO8qepMFAxHtOrXc",50959,"2020-02-02"
"Reik, J Balvin, Lalo Ebratt","Indeciso","59s0s39NFWScuHDbHytI14",50922,"2020-02-02"
"Santaferia","El Gil de Tu Ex","3cUE3p7E39CzGjQoEsg7sM",50807,"2020-02-02"
"ROSALÍA, J Balvin, El Guincho","Con Altura","2qG5sZ7Si6sdK74qLxedYM",49768,"2020-02-02"
"Lasso, Cami","Odio Que No Te Odio","374Yj1kOLjGLYLOydbCO3i",49263,"2020-02-02"
"Major Lazer, Diplo","Que Calor (with J Balvin & El Alfa)","1G2CAJeP7rCwOZjlSJ0Zw3",48948,"2020-02-02"
"Duki, Ronny J, Pablo Chill-E, Capo Plaza, C.R.O, Asan","Goteo - Remix","5widvMUA2hiilH1RpOl5aM",48701,"2020-02-02"
